symbol,entry_price,entry_time,exit_price,exit_time,quantity,position_size,pnl_value,pnl_percent,hold_days,exit_reason,partial
SHIBUSDT,9.28e-06,2022-07-09 00:00:00,8.98e-06,2022-07-18 08:00:00,43103448.275862075,400.0,-12.931034482758571,-3.232758620689643,9,"STOP_LOSS (Day 9, -3%)",False
SOLUSDT,42.13,2022-07-18 04:00:00,38.09,2022-07-25 00:00:00,4.747211013529551,200.0,-19.178732494659382,-9.589366247329691,6,"STOP_LOSS_EARLY (Day 6, -8%)",False
SOLUSDT,41.93,2022-08-08 00:00:00,40.54,2022-08-17 20:00:00,4.769854519437157,200.0,-6.630097782017651,-3.3150488910088254,9,"STOP_LOSS (Day 9, -3%)",False
SHIBUSDT,8.31e-06,2022-08-07 12:00:00,9.57e-06,2022-08-21 12:00:00,24067388.688327316,200.0,30.324909747292413,15.162454873646206,14,"TP1 (Day 14, +15%)",True
SHIBUSDT,8.31e-06,2022-08-07 12:00:00,8.91e-06,2022-08-22 04:00:00,24067388.688327316,200.0,14.440433212996373,7.2202166064981865,14,"TRAILING_STOP (Day 14, -5% from high)",False
SOLUSDT,37.71,2022-09-12 08:00:00,34.09,2022-09-13 16:00:00,5.303632988597189,200.0,-19.19915141872181,-9.599575709360906,1,"STOP_LOSS_EARLY (Day 1, -8%)",False
DOGEUSDT,0.06064,2022-10-04 12:00:00,0.05764,2022-10-13 04:00:00,6596.306068601583,400.0,-19.788918205804766,-4.9472295514511915,8,"STOP_LOSS (Day 8, -3%)",False
DOGEUSDT,0.14554,2022-11-01 04:00:00,0.13163,2022-11-02 08:00:00,2748.3853236223717,400.0,-38.23003985158721,-9.557509962896802,1,"STOP_LOSS_EARLY (Day 1, -8%)",False
SOLUSDT,32.97,2022-10-29 08:00:00,30.78,2022-11-07 04:00:00,6.066120715802245,200.0,-13.284804367606903,-6.642402183803451,8,"STOP_LOSS (Day 8, -3%)",False
SHIBUSDT,1.079e-05,2022-11-07 08:00:00,1.02e-05,2022-11-30 20:00:00,37071362.37256719,400.0,-21.87210379981462,-5.468025949953655,23,"STOP_LOSS (Day 23, -3%)",False
DOGEUSDT,0.10323,2022-12-04 08:00:00,0.09691,2022-12-11 08:00:00,3874.8425845200036,400.0,-24.489005134166447,-6.122251283541612,7,"STOP_LOSS (Day 7, -3%)",False
SOLUSDT,14.45,2023-01-08 20:00:00,22.89,2023-01-15 20:00:00,6.920415224913495,100.0,58.408304498269906,58.4083044982699,7,"TP1 (Day 7, +15%)",True
SOLUSDT,14.45,2023-01-08 20:00:00,23.22,2023-01-16 00:00:00,6.920415224913495,100.0,60.69204152249135,60.692041522491344,7,"TP2 (Day 7, +30%)",False
SHIBUSDT,7.93e-06,2023-01-18 16:00:00,7.26e-06,2023-01-19 04:00:00,50441361.91677175,400.0,-33.795712484237086,-8.448928121059271,0,"STOP_LOSS_EARLY (Day 0, -8%)",False
DOGEUSDT,0.08,2023-01-12 00:00:00,0.09511,2023-01-31 04:00:00,2500.0,200.0,37.775,18.8875,19,"TP1 (Day 19, +15%)",True
DOGEUSDT,0.08,2023-01-12 00:00:00,0.09202,2023-02-01 08:00:00,2500.0,200.0,30.050000000000008,15.025000000000002,20,"TRAILING_STOP (Day 20, -5% from high)",False
SOLUSDT,25.02,2023-02-02 12:00:00,22.66,2023-02-06 20:00:00,7.9936051159072745,200.0,-18.864908073541162,-9.432454036770581,4,"STOP_LOSS_EARLY (Day 4, -8%)",False
SHIBUSDT,7.72e-06,2023-02-04 04:00:00,7.42e-06,2023-02-13 16:00:00,51813471.50259067,400.0,-15.544041450777229,-3.8860103626943068,9,"STOP_LOSS (Day 9, -3%)",False
DOGEUSDT,0.08509,2023-02-15 00:00:00,0.08181,2023-02-24 12:00:00,4700.904924197908,400.0,-15.418968151369164,-3.854742037842291,9,"STOP_LOSS (Day 9, -3%)",False
SOLUSDT,21.6,2023-03-17 20:00:00,20.66,2023-03-24 20:00:00,9.25925925925926,200.0,-8.703703703703717,-4.351851851851857,7,"STOP_LOSS (Day 7, -3%)",False
DOGEUSDT,0.07773,2023-04-01 00:00:00,0.09014,2023-04-14 00:00:00,2573.0091341824264,200.0,31.931043355203922,15.965521677601963,13,"TP1 (Day 13, +15%)",True
DOGEUSDT,0.07773,2023-04-01 00:00:00,0.08947,2023-04-14 04:00:00,2573.0091341824264,200.0,30.207127235301687,15.103563617650845,13,"TRAILING_STOP (Day 13, -5% from high)",False
SHIBUSDT,7.87e-06,2023-04-01 16:00:00,7.6e-06,2023-04-15 16:00:00,50825921.219822116,400.0,-13.722998729351927,-3.4307496823379817,14,"STOP_LOSS (Day 14, -3%)",False
SOLUSDT,25.81,2023-04-17 00:00:00,23.21,2023-04-19 08:00:00,7.748934521503294,200.0,-20.147229755908548,-10.073614877954274,2,"STOP_LOSS_EARLY (Day 2, -8%)",False
SOLUSDT,22.87,2023-05-05 16:00:00,20.39,2023-05-08 16:00:00,8.745080891998251,200.0,-21.687800612155666,-10.843900306077833,3,"STOP_LOSS_EARLY (Day 3, -8%)",False
SOLUSDT,21.6,2023-06-04 04:00:00,19.32,2023-06-07 12:00:00,9.25925925925926,200.0,-21.11111111111112,-10.555555555555559,3,"STOP_LOSS_EARLY (Day 3, -8%)",False
